sources;"http://www.college-de-pataphysique.org/wa_files/calenpat.pdf";;;;;
;"https://fr.wikipedia.org/wiki/Calendrier_pataphysique";;;;;
PHALLE;2;lundi;Ste Ruth (*), zélatrice;;12 08;
PHALLE;3;mardi;St Zebb, passe-partout;;13 08;
PHALLE;4;mercredi;St Mnester, confesseur;;14 08;
PHALLE;5;jeudi;Assomption de Ste Messaline;;15 08;
PHALLE;6;vendredi;Penis Angelicus;;16 08;
PHALLE;7;samedi;St Patrobas (*), pompier;;17 08;
PHALLE;8;dimanche;Ste Léda, ajusteuse;;18 08;
PHALLE;9;lundi;St Godemiché, économe;;19 08;
PHALLE;10;mardi;Ste Nitouche, orante;;20 08;
PHALLE;11;mercredi;Ste Lèchefrite, botteuse;;21 08;
PHALLE;12;jeudi;Ste Andouille, amphibologue;;22 08;
PHALLE;13;vendredi;Ste Bitre, ouvreuse et St Étalon, couvreur;;23 08;
PHALLE;14;samedi;Bataille de Morsang;;24 08;
PHALLE;15;dimanche;Mort de Dionysos, surhomme;;25 08;
PHALLE;16;lundi;Nativité de St Vibescu, pohète et Commémoration de Ste Cuculine d’Ancône;;26 08;
PHALLE;17;mardi;Ste Gallinacée, cocotte;;27 08;
PHALLE;18;mercredi;St Lingam, bouche-trou;;28 08;
PHALLE;19;jeudi;St Prélote, capucin;;29 08;
PHALLE;20;vendredi;St Pie VIII (*), navigant;;30 08;
PHALLE;21;samedi;St Erbrand, polytechnicien;;31 08;
PHALLE;22;dimanche;Ste Dragonne, pyrophage;;1 09;
PHALLE;23;lundi;St Lazare (*), gare;;2 09;
PHALLE;24;mardi;Ste Orchidée, aumonière;;3 09;
PHALLE;25;mercredi;Nativité apparente d’Artaud le Momo;;4 09;
PHALLE;26;jeudi;Dispartion de l’Ancien Breughel, incendiaire;;5 09;
PHALLE;27;vendredi;St Priape (*), franc-tireur;;6 09;
PHALLE;28;samedi;Transfixion de Ste Messaline;;7 09;
